"title","prof","subject","courseQuestions","learningQuestions","instructorQuestions","wouldRecommend","spentMinimum","spentLow","spentMedium","spentHigh","spentMax"
"ACCT6262 Advanced Topics in Accounting","Ginsberg, Laurance","ACCT",4,5,4.6,4.4,100,NA,NA,NA,NA
"ACCT6262 Advanced Topics in Accounting","Rooney, Katherine","ACCT",4,5,4.6,4.4,100,NA,NA,NA,NA
"ACCT6265 Tax Accountng for Income Taxes","Franklin, Mitchell","ACCT",2.55,2.4,4.5,4.5,NA,NA,NA,41.5,NA
"ACCT6272 Finan Statement Prep/Analysis","Jackson, Cynthia","ACCT",3.84,4.02,4.5,4.5,NA,NA,NA,NA,58.8
"ACCT6280 Planng/Budgeting for Innovation","Maletta, Mario","ACCT",4.4,4.8,4.6,4.4,NA,12,41,24,24
"AFAM1101 Intro African-American Studies","Barboza, Gia","AFAM",4.2,4.8,4.6,4.6,22,44,NA,NA,22
"AFAM1101 Intro African-American Studies","Chandler, Robin","AFAM",4.3,5,4.5,4.4,33,NA,33,33,NA
"AFAM1104 Afr-Am Experience thru Music","Jackson, Eric","AFAM",4,4.52,4.48,4.4,44,NA,17.4,NA,NA
"AFAM1113 Black Popular Culture","Chandler, Robin","AFAM",3.6,3.95,4.4,4.3,32,NA,27.5,15,NA
"AFAM1140 Intro to African-American Hist","Hall, Robert","AFAM",3.85,4.15,4.55,4.5,63.5,36.5,NA,NA,NA
"AFAM1225 Gender, Race, and Medicine","Bailey, Moya","AFAM",4.7,4.9,4.6,4.6,8,42,50,NA,NA
"AFAM2338 Afr-Am History since 1900","Hall, Robert","AFAM",4.5,4.8,4.3,4.2,50,NA,17,33,NA
"AFAM2360 Politics of Poverty","Barboza, Gia","AFAM",4.46666666666667,4.53333333333333,4.5,4.4,42.6666666666667,NA,31.3333333333333,NA,NA
"AFAM2360 Politics of Poverty","Doran, Meghan","AFAM",3.8,3.9,4.3,4.2,57,29,14,NA,NA
"AFAM2399 Black Community  Soc Change","Hall, Robert","AFAM",3.4,3.8,4.3,4.2,40,40,20,NA,NA
"AFAM2549 Public Policy  Black America","Barboza, Gia","AFAM",4.6,4.8,4.6,4.6,40,NA,30,20,NA
"AFAM2549 Public Policy  Black America","Doran, Meghan","AFAM",4.2,4.7,4.3,4.2,33,67,NA,NA,NA
"AFRS1185 Gender in the African Diaspora","Chandler, Robin","AFRS",3.43333333333333,3.46666666666667,4.43333333333333,4.33333333333333,NA,71,NA,NA,NA
"AFRS1270 Introduction to Global Health","Wamai, Richard","AFRS",4.48,4.68,4.48,4.4,20.6,49.6,NA,NA,NA
"AFRS2307 Africa Today","Chandler, Robin","AFRS",4.6,4.7,4.6,4.6,33,33,33,NA,NA
"AFRS2307 Africa Today","Panford, Kwamina","AFRS",4.3,4.8,4.3,4.2,20,40,40,NA,NA
"AFRS2465 Conflicts in Africa","Wamai, Richard","AFRS",4.3,4.7,4.5,4.4,NA,NA,NA,67,NA
"AFRS3424 Epidemiology/African Diaspora","Wamai, Richard","AFRS",4.7,4.93333333333333,4.46666666666667,4.4,NA,NA,NA,NA,NA
"AFRS3460 Contemp Govt  Pol in Africa","Panford, Kwamina","AFRS",3.5,4,4.5,4.4,40,20,40,NA,NA
"AMSL1101 Elementary ASL 1","Bournazian, Alma","AMSL",4.03333333333333,4.16666666666667,4.5,4.4,NA,48.3333333333333,19.3333333333333,NA,NA
"AMSL1101 Elementary ASL 1","Lipsky, James","AMSL",4.63333333333333,4.86666666666667,4.53333333333333,4.46666666666667,NA,69.6666666666667,NA,NA,NA
"AMSL1101 Elementary ASL 1","Schreyer, Paul","AMSL",4.35555555555556,4.31111111111111,4.52222222222222,4.42222222222222,NA,NA,NA,NA,NA
"AMSL1102 Elementary ASL 2","Bournazian, Alma","AMSL",4.3,4.7,4.5,4.4,NA,67,33,NA,NA
"AMSL1102 Elementary ASL 2","Schreyer, Paul","AMSL",4.06,4.2,4.5,4.42,NA,NA,NA,NA,NA
